<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 27918, 3725, 2695, 2204, 2120, 7732
2, 3164, 3137, 3044, 2965, 2922, 3046
3, 4168, 5464, 5129, 4974, 8969, 5740
4, 7496, 8618, 8027, 8124, 8072, 8067
5, 9814, 9130, 8919, 9446, 9199, 9301
6, 10222, 10681, 10427, 10539, 10397, 10453
7, 10197, 7839, 7823, 17415, 7692, 10193
8, 8627, 8682, 8914, 8519, 8657, 8679
9, 124558, 9579, 9428, 9169, 9250, 32396
10, 10091, 10237, 10181, 12129, 10216, 10570
11, 10919, 11509, 10863, 10884, 11139, 11062
12, 11963, 12670, 12267, 12251, 17358, 13301
13, 12731, 12717, 30074, 14158, 13727, 16681
14, 14590, 14614, 14435, 14535, 36246, 18884
15, 15844, 19390, 16231, 15824, 15782, 16614
16, 16711, 16743, 18232, 17070, 16781, 17107
17, 20245, 18239, 69467, 27338, 27302, 32518
18, 32254, 28906, 29750, 30580, 30987, 30495
19, 30707, 28875, 21951, 35333, 51811, 33735
20, 9101, 8588, 8513, 11993, 8497, 9338
21, 8541, 11025, 9054, 14013, 16544, 11835
22, 9481, 9204, 13105, 7127, 7697, 9322
23, 8308, 7277, 6453, 4279, 4125, 6088
24, 4182, 4272, 6729, 5858, 7128, 5633
25, 6964, 31375, 4629, 4369, 4203, 10308
26, 4355, 4902, 5292, 4728, 8624, 5580
27, 8374, 8865, 8415, 8336, 8305, 8459
28, 8578, 8288, 12733, 5439, 5023, 8012
29, 7811, 5135, 4864, 4837, 4939, 5517
30, 5013, 5373, 5037, 5057, 5183, 5132
31, 5285, 5559, 5217, 5206, 6688, 5591
32, 5383, 5435, 7223, 5377, 5398, 5763
33, 5617, 5792, 5533, 5753, 5794, 5697
34, 5737, 5740, 5853, 5824, 5821, 5795
35, 6009, 28854, 10001, 6797, 6280, 11588
36, 6408, 75946, 11950, 11533, 11116, 23390
37, 11821, 11739, 11966, 11797, 28673, 15199
38, 11918, 14947, 11834, 12151, 12086, 12587
39, 12479, 12743, 12751, 12866, 10856, 12339
40, 13948, 11236, 11927, 12448, 20336, 13979
41, 12632, 12717, 12529, 13606, 13364, 12969
42, 14300, 36016, 18959, 11332, 10458, 18213
43, 12622, 10616, 21109, 20121, 17929, 16479
44, 40012, 6738, 6313, 5949, 5832, 12968
45, 6410, 6194, 6050, 5970, 7051, 6335
46, 6141, 6210, 13991, 12610, 21362, 12062
47, 6506, 10359, 7778, 6509, 7862, 7802
48, 6399, 6373, 6249, 6351, 6273, 6329
49, 7055, 6901, 6701, 6552, 6561, 6754
50, 6689, 9088, 6671, 6698, 6595, 7148
51, 6955, 6791, 7157, 7792, 6859, 7110
52, 9113, 7412, 7321, 9230, 7024, 8020
53, 7269, 7175, 7138, 7140, 7137, 7171
54, 7420, 8788, 7573, 7491, 7506, 7755
55, 9489, 7741, 7759, 8691, 9293, 8594
56, 7857, 7966, 7898, 7782, 7652, 7831
57, 7711, 29818, 15707, 14304, 27406, 18989
58, 8289, 8012, 8258, 8189, 8364, 8222
59, 8436, 10464, 9976, 17646, 17235, 12751
60, 16132, 17824, 17173, 17082, 15476, 16737
61, 20171, 18835, 16117, 15989, 16176, 17457
62, 14580, 13723, 17353, 16578, 21426, 16732
63, 16128, 16123, 13902, 14069, 16918, 15428
64, 17138, 16430, 16150, 21800, 16646, 17632
65, 17062, 17843, 17472, 16888, 17307, 17314
66, 53370, 22750, 20315, 20102, 19854, 27278
67, 10811, 10535, 10750, 11861, 13991, 11589
68, 10367, 10668, 10625, 19864, 19562, 14217
69, 19114, 20247, 16324, 21114, 22452, 19850
70, 22412, 22369, 22306, 25273, 19571, 22386
71, 21910, 21501, 21327, 21259, 22753, 21750
72, 24815, 20883, 21138, 18112, 21936, 21376
73, 21072, 23101, 11916, 13277, 11751, 16223
74, 11987, 11957, 12027, 14202, 18879, 13810
75, 11851, 12299, 12175, 12218, 13668, 12442
76, 12037, 13583, 12371, 21215, 21536, 16148
77, 25382, 25535, 24649, 12936, 12709, 20242
78, 14326, 26858, 23598, 21607, 25018, 22281
79, 29059, 28877, 28793, 12782, 11914, 22285
80, 13339, 13101, 12623, 12750, 12804, 12923
81, 11960, 12067, 14071, 12394, 12296, 12557
82, 14953, 12663, 13354, 15067, 12682, 13743
