<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 1254435, 10866, 14675, 8726, 9358, 259612
2, 52820, 45270, 58101, 55157, 60945, 54458
3, 136305, 128411, 141343, 126917, 107645, 128124
4, 234041, 234575, 162305, 156043, 111679, 179728
5, 373463, 334979, 112526, 176932, 105443, 220668
6, 162012, 190761, 166623, 158472, 168477, 169269
7, 250095, 237458, 250319, 256301, 230333, 244901
8, 239834, 257755, 342271, 351098, 338247, 305841
9, 503024, 464501, 445941, 449898, 493112, 471295
10, 613380, 589514, 572381, 528125, 516919, 564063
11, 4329821, 828900, 710808, 629166, 699578, 1439654
12, 930600, 887284, 853050, 653882, 672160, 799395
13, 1127835, 893589, 1209487, 1031980, 764401, 1005458
14, 1010886, 983395, 999039, 1001147, 1224757, 1043844
15, 960952, 795413, 801072, 841777, 877201, 855283
16, 987754, 990371, 966560, 1004267, 1466082, 1083006
17, 1202739, 695866, 1128947, 1071323, 789440, 977663
18, 866453, 860697, 845623, 869818, 866102, 861738
19, 994652, 1018314, 1011187, 858214, 1053589, 987191
20, 1179285, 1195072, 1120519, 2563743, 967126, 1405149
21, 2008889, 854280, 1520256, 1523889, 1272924, 1436047
22, 965644, 1675850, 1211180, 965513, 1119484, 1187534
23, 2262621, 1092846, 1108234, 1569566, 1699872, 1546627
24, 1995096, 1984129, 1985089, 1169286, 1141683, 1655056
25, 1350638, 1274480, 1287334, 1304201, 1408052, 1324941
26, 1475762, 2782442, 5724572, 5095013, 5885024, 4192562
27, 6728979, 5009161, 7169368, 1841214, 1803842, 4510512
28, 3186034, 2831759, 2987885, 2156068, 3259056, 2884160
29, 3511712, 3443825, 3366636, 4273839, 1913142, 3301830
30, 2119503, 2137014, 2202899, 2090972, 2128541, 2135785
31, 2426307, 2765264, 6492836, 7121743, 6823429, 5125915
32, 7807670, 7486899, 8090649, 8083147, 5933827, 7480438
33, 3539619, 2825360, 2929195, 2949335, 2786707, 3006043
34, 3088998, 3342390, 3338692, 3232718, 3563765, 3313312
35, 3552546, 4492670, 3471207, 3572659, 3362477, 3690311
36, 3623947, 3543987, 3657204, 3623644, 3605103, 3610777
37, 3922482, 4523717, 11200144, 11247301, 11438939, 8466516
38, 12366657, 12824741, 12717438, 12654008, 12651850, 12642938
39, 12416545, 4983201, 4575465, 4583256, 4725620, 6256817
40, 5672390, 8681108, 6404418, 9028583, 5708591, 7099018
41, 6190554, 9316798, 12995789, 13449818, 11332782, 10657148
42, 9206623, 7591574, 5811884, 5723680, 5704053, 6807562
43, 6142981, 6067391, 6114240, 6089580, 6128503, 6108539
44, 6707422, 6749525, 12810169, 21694791, 20147675, 13621916
45, 21192724, 20982076, 21441885, 21252739, 7292162, 18432317
46, 7885894, 7513469, 7571674, 7646325, 8043141, 7732100
47, 8866957, 8594706, 8352794, 8527945, 8716874, 8611855
48, 9152242, 9056598, 8998807, 9557199, 8570048, 9066978
49, 9327738, 9103171, 14449674, 9688741, 9561398, 10426144
50, 9660287, 10048842, 10119659, 10118129, 9798473, 9949078
51, 11560239, 10550398, 10293769, 10260362, 10220014, 10576956
52, 10888797, 10757426, 10942280, 10912838, 10795772, 10859422
53, 12866743, 11376978, 11478573, 12125371, 12103975, 11990328
54, 21096179, 12246493, 12389001, 12162554, 12693482, 14117541
55, 12754461, 12813243, 12768040, 12819063, 12964672, 12823895
56, 16240026, 22119085, 13780420, 13713243, 13610960, 15892746
57, 14346391, 14387700, 14294660, 15092158, 14199197, 14464021
58, 14989437, 14957989, 14963346, 15421559, 16419415, 15350349
59, 16161130, 16261659, 16025554, 16025513, 15790837, 16052938
60, 16679564, 16586885, 16470747, 16482660, 18029507, 16849872
61, 17952957, 17784625, 17898330, 17620432, 18257643, 17902797
62, 18720652, 18206673, 18286283, 19252665, 19233479, 18739950
63, 19788399, 19542164, 20825464, 19973870, 19590898, 19944159
64, 20968927, 20046492, 20092504, 20682641, 21548272, 20667767
65, 22205805, 21739812, 21406586, 21616005, 22063789, 21806399
66, 22177969, 22073566, 23872114, 22406902, 23431163, 22792342
67, 23564788, 23055694, 24012038, 23220873, 25808076, 23932293
68, 26783086, 25630610, 25024014, 25609954, 24462342, 25502001
69, 25939436, 26499399, 26911527, 27186300, 26039487, 26515229
70, 27159375, 27467303, 26662798, 28141517, 26645785, 27215355
71, 28395786, 28613041, 28787589, 27777216, 29335638, 28581854
72, 29156080, 29599217, 30495719, 29767184, 30446647, 29892969
73, 30073816, 30539899, 29748456, 30612426, 32093639, 30613647
74, 31676300, 32561017, 32186047, 32246912, 34122544, 32558564
75, 33129865, 33907063, 33482849, 33667287, 33358151, 33509043
76, 35060666, 35082798, 35900661, 34447909, 35166923, 35131791
77, 36644875, 36033961, 41624265, 37793349, 36429800, 37705250
78, 44219453, 41189566, 40926192, 37662459, 40612263, 40921986
79, 67608570, 45897057, 42039839, 41684335, 63811269, 52208214
80, 49219847, 39542362, 42043107, 41525134, 42715758, 43009241
