<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 14083, 3429, 1659, 1707, 8392, 5854
2, 125363, 18978, 14376, 21346, 11126, 38237
3, 19921, 17218, 16689, 30412, 24270, 21702
4, 41008, 22071, 29890, 22208, 23393, 27714
5, 30099, 26173, 26258, 41682, 26299, 30102
6, 40485, 66418, 32873, 31399, 31927, 40620
7, 40172, 55295, 44876, 74731, 62535, 55521
8, 81391, 103894, 63850, 64677, 62871, 75336
9, 78551, 84987, 58367, 62627, 52187, 67343
10, 64765, 71676, 47907, 75678, 60549, 64115
11, 64892, 97085, 62425, 60332, 78840, 72714
12, 110812, 76454, 60375, 62064, 106686, 83278
13, 68179, 59928, 81623, 80632, 68636, 71799
14, 65280, 61655, 61023, 62517, 176795, 85454
15, 127222, 67367, 42231, 40251, 66716, 68757
16, 77013, 48480, 62346, 56169, 65423, 61886
17, 114346, 66955, 67510, 76573, 67785, 78633
18, 93388, 77376, 87762, 83713, 76429, 83733
19, 148433, 93936, 93099, 98828, 90334, 104926
20, 139569, 154401, 131645, 142408, 174266, 148457
21, 139125, 137840, 143777, 164474, 133014, 143646
22, 151046, 202541, 165689, 207296, 156758, 176666
23, 160528, 171350, 269706, 293190, 182900, 215534
24, 222553, 181397, 212919, 210517, 327436, 230964
25, 171409, 162872, 138990, 139107, 147097, 151895
26, 178115, 183906, 177187, 199104, 165540, 180770
27, 200285, 204820, 190220, 176380, 174948, 189330
28, 193517, 206482, 142558, 122351, 117068, 156395
29, 310371, 148711, 102715, 116537, 131247, 161916
30, 160306, 172729, 95335, 111469, 124976, 132963
31, 116626, 191523, 133136, 124199, 91106, 131318
32, 69731, 68202, 63854, 61084, 55173, 63608
33, 62464, 78505, 107078, 77249, 74541, 79967
34, 64606, 85020, 60081, 59723, 136868, 81259
35, 165813, 117063, 83614, 80142, 83554, 106037
36, 70525, 138306, 119095, 122078, 113791, 112759
37, 82669, 94053, 84996, 92519, 125260, 95899
38, 115652, 121401, 157860, 121549, 160371, 135366
39, 148719, 146817, 136096, 160209, 132082, 144784
40, 133538, 143207, 134591, 133399, 118747, 132696
41, 144500, 113451, 150956, 158046, 144368, 142264
42, 105457, 110623, 108219, 104392, 107349, 107208
43, 112727, 125027, 179586, 117704, 117938, 130596
44, 109836, 173190, 110996, 113353, 108171, 123109
45, 122299, 126137, 122182, 109253, 110035, 117981
46, 159911, 118664, 134855, 150471, 143687, 141517
47, 126019, 113096, 129553, 118987, 114285, 120388
48, 113392, 122428, 114673, 118531, 118355, 117475
49, 190173, 144369, 140624, 4029889, 147852, 930581
50, 131466, 127314, 168375, 146991, 132578, 141344
51, 129661, 136453, 110848, 118472, 122079, 123502
52, 117669, 116274, 128684, 121018, 165903, 129909
53, 129791, 112721, 113269, 110870, 111930, 115716
54, 144569, 124679, 117062, 110095, 110581, 121397
55, 122876, 93177, 102840, 91686, 93373, 100790
56, 94349, 130535, 88209, 128132, 131832, 114611
57, 125086, 123939, 129779, 156267, 111263, 129266
58, 162007, 84973, 81499, 96380, 83604, 101692
59, 93724, 125949, 101517, 107177, 101927, 106058
60, 93431, 98069, 97223, 97536, 105216, 98295
61, 131759, 139574, 174651, 141489, 141882, 145871
62, 142284, 172089, 156631, 139786, 147249, 151607
63, 140472, 147389, 134219, 143628, 132945, 139730
64, 138525, 133538, 129584, 163550, 142603, 141560
65, 147582, 197889, 133628, 149137, 209068, 167460
66, 242852, 167837, 146804, 142626, 91777, 158379
67, 94152, 99452, 138068, 135138, 152538, 123869
68, 136327, 134576, 152382, 139039, 143800, 141224
69, 178862, 138681, 146850, 138262, 144781, 149487
70, 177002, 140861, 142207, 108962, 97674, 133341
71, 100562, 92370, 106403, 99271, 91406, 98002
72, 98679, 99101, 91054, 93387, 101983, 96840
73, 99943, 101062, 97485, 97481, 93756, 97945
74, 107984, 176447, 165940, 167734, 209361, 165493
75, 177019, 184248, 162824, 163890, 179010, 173398
76, 180539, 184042, 164372, 100733, 100615, 146060
77, 116739, 104473, 129394, 105321, 125485, 116282
78, 191092, 131024, 210638, 179001, 179806, 178312
79, 195607, 188093, 199279, 209848, 197002, 197965
80, 211372, 193357, 194374, 221104, 227969, 209635
81, 188985, 190630, 201548, 174266, 199087, 190903
82, 203892, 182383, 246644, 210482, 183841, 205448
83, 188337, 193867, 188836, 232372, 183208, 197324
84, 241512, 188720, 185370, 195684, 196020, 201461
85, 201495, 216443, 190395, 182492, 218076, 201780
86, 208380, 207333, 196173, 141673, 122642, 175240
87, 141991, 131719, 127577, 119399, 124382, 129013
88, 126287, 124631, 144617, 141356, 136642, 134706
89, 135117, 140110, 164368, 143594, 196532, 155944
90, 199454, 226263, 205630, 208387, 204565, 208859
91, 204826, 202140, 215067, 223025, 201461, 209303
92, 220669, 214242, 248750, 198525, 206271, 217691
93, 252954, 225350, 230266, 263164, 221697, 238686
94, 238067, 209554, 248207, 359030, 227211, 256413
95, 255424, 226723, 224433, 224067, 229276, 231984
96, 241786, 265253, 274363, 191106, 193156, 233132
97, 194080, 174362, 180139, 143357, 247966, 187980
98, 285049, 205575, 203019, 193923, 199860, 217485
99, 198267, 172984, 225804, 309695, 185724, 218494
100, 150274, 130132, 162554, 126588, 124538, 138817
101, 178001, 213598, 216553, 158992, 178704, 189169
102, 191951, 224951, 223389, 140593, 125314, 181239
103, 125320, 134506, 143883, 158974, 151421, 142820
104, 147941, 134975, 133110, 130010, 130852, 135377
105, 166214, 161560, 164245, 143968, 149464, 157090
106, 151882, 152651, 150516, 149598, 146605, 150250
107, 173016, 143952, 145669, 147543, 237765, 169589
108, 254738, 234018, 235214, 243469, 201571, 233802
109, 195778, 230003, 242782, 211825, 214246, 218926
110, 205274, 251176, 205118, 200325, 270055, 226389
111, 220642, 218665, 224348, 222951, 246468, 226614
112, 214368, 222712, 242313, 204771, 201689, 217170
113, 209207, 1819017, 97432, 67915, 64436, 451601
114, 69474, 66510, 72246, 67631, 64625, 68097
115, 67212, 69585, 68576, 68128, 145979, 83896
116, 137738, 140804, 103263, 144994, 142436, 133847
117, 142627, 189733, 117985, 71918, 118143, 128081
118, 100556, 127371, 105318, 127843, 102210, 112659
119, 108254, 116817, 185897, 234971, 119731, 153134
120, 130692, 124547, 107276, 127235, 121703, 122290
121, 184788, 136736, 138942, 128580, 130325, 143874
122, 128325, 129021, 132921, 143458, 135121, 133769
123, 126369, 127367, 136511, 141166, 134133, 133109
124, 128995, 123437, 126487, 130941, 130187, 128009
125, 129813, 138891, 144015, 134351, 1282134, 365840
126, 82826, 75168, 81616, 73525, 74797, 77586
127, 87729, 93785, 77168, 153001, 159425, 114221
128, 137380, 102314, 99976, 118833, 125940, 116888
129, 263387, 317761, 440437, 935636, 903793, 572202
130, 792061, 380999, 179604, 193186, 198964, 348962
131, 216400, 177247, 242873, 181977, 226752, 209049
132, 201264, 241554, 218423, 266142, 140305, 213537
133, 138601, 143887, 138919, 159962, 200575, 156388
134, 141090, 142004, 155154, 146364, 215956, 160113
135, 237637, 261404, 275027, 264884, 252698, 258330
136, 274061, 262833, 178378, 147974, 148538, 202356
137, 181382, 150485, 147105, 160483, 146985, 157288
138, 161577, 146806, 149005, 147498, 145694, 150116
139, 155041, 147337, 147495, 254929, 290010, 198962
140, 273262, 271371, 268550, 275034, 268670, 271377
141, 266795, 265004, 274696, 297885, 245087, 269893
142, 211180, 194461, 177608, 182896, 209851, 195199
143, 231764, 285213, 247834, 270258, 192784, 245570
144, 189226, 199679, 215851, 189349, 212487, 201318
145, 220301, 216168, 225408, 217647, 207115, 217327
146, 226021, 219623, 223780, 188515, 145332, 200654
147, 137106, 174557, 221710, 198326, 202649, 186869
148, 141478, 241598, 217794, 247318, 236010, 216839
149, 234288, 222785, 226305, 241457, 215732, 228113
150, 218720, 235373, 225384, 211025, 227259, 223552
151, 243654, 254013, 221874, 195172, 220101, 226962
152, 224312, 224820, 225353, 218316, 155351, 209630
153, 170732, 315979, 250508, 254930, 131103, 224650
154, 185832, 1623831, 198769, 125932, 155253, 457923
155, 156199, 150292, 159765, 137869, 141500, 149125
156, 140998, 140395, 129490, 128573, 174644, 142820
157, 119970, 116217, 113068, 123347, 115593, 117639
158, 114666, 116975, 113837, 114517, 115394, 115077
159, 239164, 134101, 130491, 128010, 125541, 151461
160, 123816, 131937, 135402, 127313, 128516, 129396
161, 123910, 130901, 129919, 149058, 129863, 132730
162, 126505, 131284, 197586, 124089, 132470, 142386
163, 168902, 175308, 181808, 196958, 126038, 169802
164, 120465, 122399, 118156, 142392, 131878, 127058
165, 137610, 213696, 137635, 176861, 121726, 157505
166, 119892, 121423, 121223, 124329, 119269, 121227
167, 150493, 149369, 123259, 117337, 120632, 132218
168, 246538, 154100, 148306, 140467, 131597, 164201
169, 128840, 146814, 127317, 128191, 126602, 131552
170, 127245, 148787, 131160, 125747, 125960, 131779
171, 132545, 131692, 131382, 131539, 130302, 131492
172, 143078, 128590, 128637, 132041, 130056, 132480
173, 129046, 131934, 128983, 139869, 150970, 136160
174, 172697, 121190, 122158, 124165, 137169, 135475
175, 245595, 205577, 212296, 206885, 208749, 215820
176, 211405, 189850, 180932, 186380, 183302, 190373
177, 172912, 172562, 277897, 127353, 155565, 181257
178, 152510, 204317, 124551, 119825, 121774, 144595
179, 127882, 172624, 208460, 191190, 205158, 181062
180, 241652, 211054, 220884, 212630, 212742, 219792
181, 286323, 220202, 156918, 145856, 143671, 190594
182, 140425, 140726, 139246, 173090, 214835, 161664
183, 224419, 209311, 2016326, 230990, 229567, 582122
184, 224494, 236700, 227225, 227375, 560552, 295269
185, 559156, 248646, 255003, 264883, 206777, 306893
186, 228134, 223552, 231003, 230287, 220298, 226654
187, 257461, 228577, 230917, 225147, 224143, 233249
188, 226876, 225555, 232120, 223857, 205963, 222874
189, 215168, 201929, 220259, 432493, 238216, 261613
190, 318092, 223422, 229047, 279272, 217060, 253378
191, 226606, 250230, 232109, 148372, 138912, 199245
192, 188780, 210078, 178408, 213533, 224468, 203053
193, 174200, 154968, 136658, 132325, 149339, 149498
194, 149980, 133189, 136609, 137074, 134138, 138198
195, 166079, 239009, 137099, 139662, 153660, 167101
196, 173964, 157641, 152499, 150814, 225517, 172087
197, 240866, 238542, 232928, 239733, 202944, 231002
198, 146952, 144012, 139715, 159079, 155794, 149110
199, 236152, 271980, 236705, 236676, 236060, 243514
200, 239425, 261416, 230328, 226252, 228524, 237189
201, 237735, 240299, 256393, 235030, 238551, 241601
202, 247915, 246280, 220681, 236447, 188518, 227968
203, 219945, 275844, 224120, 278773, 179835, 235703
204, 151370, 215603, 159502, 160440, 156629, 168708
205, 177889, 158585, 199420, 263014, 263749, 212531
206, 247088, 277488, 161730, 161709, 163493, 202301
207, 148666, 162627, 225867, 1347226, 173184, 411514
208, 157279, 162760, 166898, 265324, 253439, 201140
209, 254065, 256671, 261605, 255265, 250254, 255572
210, 256257, 259786, 256410, 248379, 263091, 256784
211, 266597, 257800, 274807, 216107, 253923, 253846
212, 306910, 294497, 273442, 267137, 270710, 282539
213, 269978, 283696, 383191, 268863, 250894, 291324
214, 332759, 285281, 279611, 266098, 266468, 286043
215, 272630, 272968, 276354, 271876, 203892, 259544
216, 171500, 189089, 220386, 231340, 204944, 203451
217, 247970, 244080, 244309, 249226, 258493, 248815
218, 252181, 180411, 161273, 159386, 155596, 181769
219, 157981, 164534, 266809, 302205, 284233, 235152
220, 287365, 285770, 284432, 298362, 305346, 292255
221, 297879, 282570, 270795, 268255, 264650, 276829
222, 283413, 283130, 289031, 295064, 297751, 289677
223, 168057, 164764, 179046, 198054, 166599, 175304
224, 166617, 170229, 162579, 161497, 162574, 164699
225, 164917, 162410, 162241, 161958, 253514, 181008
226, 182495, 169110, 162841, 174840, 194687, 176794
227, 176531, 180004, 310025, 294420, 291866, 250569
228, 298139, 325277, 299054, 310303, 332491, 313052
229, 354150, 374461, 576123, 543632, 403154, 450304
230, 347830, 356590, 355728, 343381, 377012, 356108
231, 363870, 365583, 238917, 359530, 409735, 347527
232, 375233, 361760, 375754, 599331, 641312, 470678
233, 585035, 623206, 542277, 550521, 570403, 574288
234, 531565, 576410, 515893, 533164, 622525, 555911
235, 608907, 601525, 568394, 598926, 3049524, 1085455
236, 1002378, 566698, 579615, 605762, 623332, 675557
237, 559743, 970861, 582658, 593033, 429845, 627228
238, 535399, 584242, 389567, 417955, 637909, 513014
239, 581056, 583601, 633078, 555772, 592105, 589122
240, 569427, 567070, 568156, 524239, 573067, 560391
