<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 4850, 623, 539, 683, 630, 1465
2, 1558, 1906, 1497, 1577, 1520, 1611
3, 2112, 1355, 1515, 1477, 1595, 1610
4, 2227, 2258, 1709, 1768, 1646, 1921
5, 2322, 2288, 1853, 2046, 2047, 2111
6, 1933, 1555, 1528, 1997, 1573, 1717
7, 2371, 1632, 1634, 1535, 2013, 1837
8, 4013, 12656, 2963, 3096, 3040, 5153
9, 6693, 3271, 3004, 2885, 2923, 3755
10, 12384, 3208, 3370, 2803, 3206, 4994
11, 4394, 3709, 6480, 3596, 3464, 4328
12, 4580, 3694, 3095, 3479, 2641, 3497
13, 5575, 3712, 3324, 6890, 7831, 5466
14, 5208, 3417, 3598, 3229, 3496, 3789
15, 6215, 3796, 3585, 4401, 138009, 31201
16, 7249, 4488, 4738, 7695, 4400, 5714
17, 7021, 4392, 4539, 4215, 6102, 5253
18, 7135, 39818, 5660, 5779, 6139, 12906
19, 8903, 5430, 5404, 11487, 1361, 6517
20, 2003, 2043, 1434, 1575, 1187, 1648
21, 2933, 1763, 1288, 1149, 1248, 1676
22, 2299, 1699, 1585, 1661, 1473, 1743
23, 2925, 1112, 965, 1264, 1429, 1539
24, 3832479, 2992, 1687, 1724, 1615, 768099
25, 3328, 1936, 1608, 1652, 1157, 1936
26, 2262, 1660, 1835, 2304, 1772, 1966
27, 3774, 1564, 1487, 2292, 1843, 2192
28, 4205, 1935, 1577, 2381, 2369, 2493
29, 3810, 1776, 1407, 1454, 1415, 1972
30, 4265, 2283, 1807, 1781, 2525, 2532
31, 4492, 2077, 6251, 1927, 1807, 3310
32, 5325, 2727, 2466, 2177, 3199, 3178
33, 7717, 2207, 2008, 1805, 2609, 3269
34, 4818, 2206, 1929, 1993, 1722, 2533
35, 4496, 1906, 2702, 1364, 1102, 2314
36, 3128, 1332, 1158, 1090, 1092, 1560
37, 3170, 1285, 2195, 2774, 2267, 2338
38, 4401, 2376, 2478, 1726, 2491, 2694
39, 4792, 2221, 2286, 2047, 1915, 2652
40, 4866, 2369, 2171, 3339, 42349, 11018
41, 4819, 2983, 2651, 2810, 2633, 3179
42, 8815, 2428, 2582, 2449, 2351, 3725
43, 5133, 2779, 2569, 2394, 2639, 3102
44, 5427, 2729, 2362, 2330, 2470, 3063
45, 5136, 2585, 2484, 2476, 2365, 3009
46, 5572, 2995, 2645, 2677, 2747, 3327
47, 5062, 2965, 3016, 5417, 2545, 3801
48, 6661, 2705, 4534, 8147, 3009, 5011
49, 6765, 3308, 3366, 3334, 4407, 4236
50, 6680, 3841, 3409, 3185, 3484, 4119
51, 7700, 3250, 2922, 2920, 2855, 3929
52, 6531, 3338, 3166, 3037, 3015, 3817
53, 6760, 3413, 3071, 5324, 3130, 4339
54, 6282, 3310, 6206, 3409, 2871, 4415
55, 7242, 3414, 3169, 2678, 2919, 3884
56, 7404, 3168, 3246, 3018, 2985, 3964
57, 6760, 3368, 3068, 3050, 2606, 3770
58, 10348, 3314, 3072, 2439, 2721, 4378
59, 7439, 3090, 4175, 5545, 2920, 4633
60, 6767, 3391, 3065, 3056, 2940, 3843
61, 7449, 3342, 3040, 2945, 2479, 3851
62, 6819, 3157, 3041, 2969, 2909, 3779
63, 6886, 3425, 3172, 2529, 2962, 3794
64, 7294, 5977, 2884, 3281, 3151, 4517
65, 10632, 4442, 4005, 2125, 1962, 4633
66, 5975, 2274, 13182, 3610, 3364, 5681
67, 5772, 2350, 1964, 1888, 1858, 2766
68, 6303, 2325, 1983, 3165, 2959, 3347
69, 8538, 3771, 3678, 3465, 3527, 4595
70, 10694, 3899, 3555, 3471, 3353, 4994
71, 7422, 3212, 2860, 2773, 4526, 4158
72, 9736, 3887, 3732, 6737, 3466, 5511
73, 8773, 4217, 3772, 2228, 2063, 4210
74, 7302, 4055, 5665, 3775, 3555, 4870
75, 8836, 3894, 3764, 3561, 3910, 4793
76, 8770, 7445, 4300, 4238, 3888, 5728
77, 9081, 3991, 3342, 3920, 2203, 4507
78, 8027, 4282, 4035, 6825, 5280, 5689
79, 8729, 4042, 2486, 3474, 7761, 5298
80, 9724, 4700, 3999, 4051, 3745, 5243
81, 7562, 3242, 4674, 4755, 3725, 4791
82, 9677, 5084, 7243, 4245, 4356, 6121
83, 13973, 4899, 4421, 5477, 4400, 6634
84, 9589, 4301, 4638, 4451, 3887, 5373
85, 10543, 5468, 4605, 5018, 4506, 6028
86, 14308, 5448, 4920, 4610, 4132, 6683
87, 23428, 5318, 1324, 1827, 1543, 6688
88, 6775, 2095, 1863, 1688, 963, 2676
89, 6519, 1954, 1697, 1687, 1748, 2721
90, 5140, 1578, 1117, 1691, 1741, 2253
91, 5828, 2129, 1821, 1093, 950, 2364
92, 5407, 2184, 1719, 1144, 943, 2279
93, 4885, 3394, 2319, 3001, 2294, 3178
94, 6745, 2689, 2207, 1931, 2005, 3115
95, 7324, 2426, 2030, 1731, 1799, 3062
96, 7090, 2183, 3215, 2174, 1805, 3293
97, 7264, 2494, 2202, 1999, 2003, 3192
98, 6827, 2492, 2129, 2339, 2069, 3171
99, 6926, 2427, 2032, 1909, 2203, 3099
100, 7017, 2375, 1983, 1878, 1679, 2986
101, 7532, 2376, 2319, 1990, 1909, 3225
102, 7565, 2518, 2112, 2060, 1709, 3192
103, 7728, 3570, 2311, 3545, 2377, 3906
104, 7782, 2977, 2432, 2205, 2209, 3521
105, 7258, 2741, 2204, 2223, 2245, 3334
106, 8139, 2969, 2152, 2122, 2034, 3483
107, 8124, 2646, 2166, 2206, 2385, 3505
108, 7880, 3716, 2817, 2721, 2496, 3926
109, 8210, 2934, 2508, 2206, 2129, 3597
110, 7976, 3292, 2491, 2464, 2240, 3692
111, 8564, 2760, 2475, 2311, 2237, 3669
112, 8541, 2802, 2368, 2183, 1760, 3530
113, 8637, 3296, 2445, 2072, 2044, 3698
114, 8255, 2809, 2576, 1839, 2001, 3496
115, 9893, 3427, 2339, 2059, 2053, 3954
116, 8628, 2736, 2124, 2096, 1968, 3510
