<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 6374, 564, 413, 440, 436, 1645
2, 849, 831, 564, 609, 599, 690
3, 877, 752, 746, 960, 789, 824
4, 1070, 898, 792, 773, 1127, 932
5, 1824, 1360, 1299, 1402, 1370, 1451
6, 1905, 1647, 1498, 1539, 1426, 1603
7, 2135, 1762, 1916, 1883, 1689, 1877
8, 2489, 2390, 1962, 2034, 2034, 2181
9, 3205, 2001, 2412, 2670, 2261, 2509
10, 2664, 2792, 2651, 5549, 7794, 4290
11, 3613, 3004, 4644, 3179, 3140, 3516
12, 4001, 3888, 3697, 3786, 3575, 3789
13, 4738, 6880, 3754, 6817, 3784, 5194
14, 5302, 3928, 4938, 4421, 4495, 4616
15, 6775, 5387, 9172, 4749, 4957, 6208
16, 7146, 4863, 4824, 4735, 5275, 5368
17, 10579, 5378, 6475, 6375, 6444, 7050
18, 8232, 6551, 10834, 7574, 7187, 8075
19, 10101, 7350, 9771, 6418, 7226, 8173
20, 11738, 8400, 11182, 9259, 8251, 9766
21, 12069, 8493, 12662, 9215, 9496, 10387
22, 13433, 14803, 9359, 9114, 9297, 11201
23, 17390, 11703, 13231, 10220, 13661, 13241
24, 15428, 12424, 12197, 14375, 11495, 13183
25, 22002, 727565, 11790, 11862, 14991, 157642
26, 16046, 11120, 36660, 11831, 11505, 17432
27, 23616, 14473, 13984, 16099, 13590, 16352
28, 24385, 15668, 16250, 17811, 13377, 17498
29, 27999, 14893, 15388, 19429, 17394, 19020
30, 30980, 18239, 21510, 17673, 22693, 22219
31, 27042, 21120, 17261, 20916, 16823, 20632
32, 30386, 19736, 20825, 18065, 22487, 22299
33, 27712, 23417, 19826, 22330, 20643, 22785
34, 30977, 22934, 24334, 17701, 17909, 22771
35, 30658, 16801, 17815, 17748, 16532, 19910
36, 33277, 26105, 25531, 25991, 4581912, 938563
37, 7293, 5164, 6216, 5927, 6850, 6290
38, 9245, 7336, 6593, 6536, 6277, 7197
39, 10369, 11525, 7743, 6655, 7489, 8756
40, 7260, 6937, 7259, 11238, 8249, 8188
41, 10656, 10733, 6606, 7577, 7428, 8600
42, 11334, 8293, 8209, 8447, 7785, 8813
43, 13720, 8475, 8746, 9091, 7531, 9512
44, 12352, 8979, 8639, 16925, 11864, 11751
45, 12152, 10023, 10311, 9696, 9833, 10403
46, 13183, 12076, 8834, 9474, 9941, 10701
47, 11712, 9539, 9348, 9419, 210755, 50154
48, 12660, 9940, 11633, 9586, 9178, 10599
49, 13829, 12436, 10416, 9944, 10918, 11508
50, 13569, 11535, 13733, 11830, 11704, 12474
51, 15983, 11108, 11093, 11195, 13805, 12636
52, 14536, 11374, 11085, 13367, 11636, 12399
53, 19716, 12634, 13881, 11726, 11687, 13928
54, 19008, 12404, 21759, 11594, 10924, 15137
55, 16029, 14416, 12076, 11974, 12428, 13384
56, 15809, 13796, 13000, 10832, 11519, 12991
57, 17730, 15727, 13063, 12890, 13679, 14617
58, 18424, 16765, 14087, 13795, 14087, 15431
59, 18633, 16237, 13711, 24490, 15048, 17623
60, 24057, 15469, 15793, 16039, 16246, 17520
61, 24476, 17723, 15998, 16085, 18919, 18640
62, 23569, 18781, 18780, 21290, 18579, 20199
63, 23714, 18767, 21215, 18729, 16706, 19826
64, 24052, 21854, 16936, 16628, 15974, 19088
65, 26133, 18502, 16348, 18068, 21398, 20089
66, 23204, 17610, 19690, 22167, 19159, 20366
67, 25194, 22084, 24124, 20522, 19439, 22272
68, 28657, 20274, 21455, 18564, 20725, 21935
69, 24360, 19047, 22320, 20011, 20073, 21162
70, 30691, 22623, 21175, 20174, 119304, 42793
71, 27153, 21901, 72581, 21939, 21370, 32988
72, 63102, 23731, 23169, 22282, 78151, 42087
73, 31345, 25785, 92062, 22589, 24191, 39194
74, 122597, 26707, 24602, 102245, 23672, 59964
75, 33561, 91510, 19575, 22006, 88232, 50976
76, 33159, 27343, 87478, 27285, 27118, 40476
77, 110918, 27589, 23443, 79258, 21117, 52465
78, 26937, 79104, 22769, 24184, 73855, 45369
79, 34006, 50255, 71498, 21702, 27382, 40968
80, 119918, 28504, 29225, 89164, 28996, 59161
81, 35858, 81924, 28856, 29294, 165886, 68363
82, 39101, 83452, 31504, 12797, 9654, 35301
83, 13446, 4243, 4107, 3955, 3921, 5934
84, 14551, 4087, 4006, 3642, 3459, 5949
85, 14714, 3472, 3007, 3520, 3427, 5628
86, 14654, 3867, 3787, 3797, 3885, 5998
87, 15393, 4027, 4025, 3569, 2602, 5923
88, 14577, 2116, 1968, 1956, 3307, 4784
89, 16553, 2125, 2008, 2004, 2006, 4939
90, 14224, 3333, 2911, 3511, 2777, 5351
91, 17567, 3405, 3345, 2686, 3032, 6007
92, 13267, 4802, 3858, 4141, 3396, 5892
93, 13793, 2494, 2422, 2295, 2252, 4651
94, 13628, 2380, 2251, 2238, 2231, 4545
95, 14107, 3342, 3452, 4091, 3963, 5791
96, 16604, 4004, 4554, 3980, 4038, 6636
97, 18395, 3807, 4254, 4205, 2423, 6616
98, 14831, 2591, 2396, 2371, 2385, 4914
99, 14515, 4980, 5468, 4274, 4510, 6749
100, 19050, 4051, 4302, 3838, 4075, 7063
101, 18487, 4365, 4534, 3694, 3965, 7009
102, 18747, 4511, 3636, 4005, 4245, 7028
103, 20043, 5535, 6370, 5940, 5940, 8765
104, 20443, 6089, 5880, 5301, 5304, 8603
105, 19263, 5125, 13239, 3416, 5170, 9242
106, 20648, 5333, 4768, 4433, 4611, 7958
107, 21809, 6619, 6126, 5742, 5453, 9149
108, 19940, 5068, 4489, 4137, 4014, 7529
109, 34968, 6606, 5732, 6064, 5802, 11834
110, 23251, 3929, 3497, 3268, 4372, 7663
111, 21091, 5014, 5186, 6055, 5085, 8486
112, 24725, 6433, 6500, 4476, 13625, 11151
113, 18873, 3410, 3131, 5581, 3192, 6837
