<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 4154, 387, 291, 264, 559, 1131
2, 264, 324, 301, 314, 226, 285
3, 207, 220, 200, 353, 299, 255
4, 257, 194, 193, 201, 197, 208
5, 189, 197, 235, 201, 209, 206
6, 198, 208, 206, 183, 199, 198
7, 238, 207, 226, 174, 223, 213
8, 319, 242, 206, 207, 208, 236
9, 187, 207, 198, 219, 203, 202
10, 195, 218, 178, 197, 199, 197
11, 363, 206, 197, 1731, 221, 543
12, 197, 230, 234, 198, 211, 214
13, 187, 213, 202, 194, 302, 219
14, 199, 229, 207, 218, 223, 215
15, 242, 205, 200, 240, 278, 233
16, 202, 230, 237, 213, 219, 220
17, 182, 208, 264, 198, 516, 273
18, 299, 313, 283, 264, 329, 297
19, 201, 234, 198, 198, 217, 209
20, 360, 238, 198, 204, 438, 287
21, 198, 225, 202, 234, 206, 213
22, 194, 219, 208, 197, 219, 207
23, 242, 223, 216, 237, 224, 228
24, 239, 230, 1181, 203, 226, 415
25, 348, 218, 200, 344, 325, 287
26, 203, 205, 7418, 256, 202, 1656
27, 190, 206, 339, 333, 358, 285
28, 611, 361, 392, 254, 283, 380
29, 225, 426, 322, 286, 300, 311
30, 306, 332, 287, 314, 304, 308
31, 282, 395, 289, 272, 369, 321
32, 467, 367, 329, 248, 327, 347
33, 324, 274, 200, 160, 167, 225
34, 408, 321, 279, 266, 278, 310
35, 337, 414, 405, 259, 233, 329
36, 244, 213, 256, 233, 241, 237
37, 205, 4625280, 406, 239, 262, 925278
38, 181, 230, 245, 312, 276, 248
39, 280, 250, 276, 268, 239, 262
40, 330, 250, 268, 236, 226, 262
41, 242, 241, 222, 241, 238, 236
42, 276, 233, 250, 273, 247, 255
43, 251, 300, 231, 240, 411, 286
44, 331, 240, 214, 253, 207, 249
45, 377, 249, 305, 266, 244, 288
46, 243, 188, 170, 164, 166, 186
47, 163, 183, 163, 178, 166, 170
48, 164, 161, 168, 291, 242, 205
49, 205, 238, 189, 176, 243, 210
50, 226, 200, 180, 295, 272, 234
51, 252, 245, 316, 263, 240, 263
52, 236, 277, 245, 224, 245, 245
53, 231, 234, 235, 229, 228, 231
54, 222, 203, 201, 239, 246, 222
55, 242, 233, 231, 221, 241, 233
56, 235, 226, 214, 228, 219, 224
57, 248, 238, 219, 212, 258, 235
58, 169, 190, 175, 197, 180, 182
59, 169, 167, 165, 185, 171, 171
60, 164, 179, 167, 165, 179, 170
61, 192, 166, 192, 166, 170, 177
62, 165, 180, 193, 163, 169, 174
63, 167, 175, 193, 190, 164, 177
64, 262, 196, 233, 196, 166, 210
65, 302, 221, 180, 163, 180, 209
66, 162, 165, 241, 194, 209, 194
67, 247, 217, 207, 180, 167, 203
68, 162, 183, 161, 162, 157, 165
69, 163, 166, 167, 161, 158, 163
70, 159, 164, 160, 157, 158, 159
71, 160, 159, 160, 164, 157, 160
72, 197, 166, 235, 168, 168, 186
73, 169, 158, 170, 158, 166, 164
74, 167, 158, 160, 162, 159, 161
75, 179, 171, 168, 164, 165, 169
76, 165, 187, 160, 177, 185, 174
77, 174, 188, 161, 186, 267, 195
78, 213, 160, 165, 164, 164, 173
79, 172, 157, 161, 164, 158, 162
80, 164, 192, 160, 316, 212, 208
81, 164, 160, 168, 166, 178, 167
82, 156, 167, 166, 169, 163, 164
83, 169, 160, 164, 165, 185, 168
84, 162, 159, 166, 166, 163, 163
85, 196, 164, 161, 179, 161, 172
86, 163, 160, 161, 363, 235, 216
87, 356, 227, 183, 177, 182, 225
88, 1143, 161, 161, 166, 186, 363
89, 169, 183, 144, 164, 164, 164
90, 197, 163, 159, 285, 191, 199
91, 201, 158, 159, 163, 188, 173
92, 258, 192, 160, 163, 168, 188
93, 164, 161, 161, 178, 174, 167
94, 167, 162, 162, 168, 164, 164
95, 164, 159, 161, 168, 185, 167
96, 175, 165, 162, 185, 165, 170
97, 168, 161, 159, 163, 180, 166
98, 162, 159, 163, 166, 167, 163
99, 166, 161, 162, 179, 183, 170
100, 180, 161, 179, 164, 164, 169
101, 200, 159, 160, 165, 166, 170
102, 163, 170, 160, 161, 164, 163
103, 165, 226, 295, 413, 197, 259
104, 272, 244, 159, 155, 140, 194
105, 167, 169, 154, 160, 159, 161
106, 254, 212, 232, 200, 241, 227
107, 256, 206, 239, 217, 205, 224
108, 204, 181, 319, 248, 293, 249
109, 243, 224, 220, 228, 238, 230
110, 254, 232, 199, 222, 193, 220
111, 258, 234, 204, 227, 201, 224
112, 241, 230, 204, 201, 210, 217
