<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 6648, 2616, 1349, 2700, 1592, 2981
2, 127520, 24778, 2792, 2334, 2244, 31933
3, 2894, 5191, 4504, 4641, 3077, 4061
4, 3042, 3223, 3352, 3384, 5295, 3659
5, 4623, 4713, 5363, 3900, 3389, 4397
6, 3983, 3739, 31438, 4328, 4043, 9506
7, 4549, 4839, 4523, 4425, 4567, 4580
8, 5580, 5618, 4621, 5461, 5925, 5441
9, 5827, 5720, 5698, 8292, 5093, 6126
10, 6150, 8073, 6457, 17549, 4891, 8624
11, 5041, 4863, 4966, 5117, 5136, 5024
12, 5346, 5428, 5029, 6602, 6237, 5728
13, 7984, 6479, 5663, 6066, 5707, 6379
14, 5913, 6191, 6171, 5974, 5916, 6033
15, 38362, 8225, 7248, 7295, 7318, 13689
16, 8031, 7787, 8923, 8487, 8298, 8305
17, 7924, 9026, 8805, 11549, 9050, 9270
18, 10636, 9324, 9846, 10246, 9673, 9945
19, 18398, 9917, 9976, 9831, 9830, 11590
20, 117801, 31257, 11431, 11458, 11726, 36734
21, 12401, 11529, 17438, 24609, 12993, 15794
22, 12611, 13080, 13325, 12991, 13085, 13018
23, 13969, 13030, 13678, 13988, 17561, 14445
24, 14220, 13970, 14255, 13844, 18074, 14872
25, 25611, 15415, 15010, 14531, 14701, 17053
26, 14947, 15146, 17035, 17715, 16226, 16213
27, 16640, 18459, 17055, 16792, 19650, 17719
28, 18238, 46692, 18386, 18974, 53237, 31105
29, 18892, 20133, 48143, 24142, 19480, 26158
30, 28295, 19653, 19315, 19207, 18874, 21068
31, 19798, 20282, 19826, 19706, 22544, 20431
32, 20826, 38923, 23452, 21256, 21099, 25111
33, 21648, 21848, 21527, 25201, 21501, 22345
34, 21677, 21050, 21649, 21411, 21405, 21438
35, 29213, 2085343, 29881, 24314, 24496, 438649
36, 33059, 24048, 36786, 23718, 29483, 29418
37, 160335, 24798, 23788, 23462, 27323, 51941
38, 23749, 23659, 24470, 23872, 23318, 23813
39, 48252, 26845, 24463, 25219, 23903, 29736
40, 26129, 29322, 25815, 30923, 25799, 27597
41, 25984, 29507, 30106, 26839, 86825, 39852
42, 29017, 30798, 27934, 26837, 28847, 28686
43, 28866, 34600, 28691, 986935, 36442, 223106
44, 33554, 38539, 31494, 37884, 30841, 34462
45, 35800, 34626, 30384, 34834, 62729, 39674
46, 35655, 34002, 28948, 40165, 27097, 33173
47, 26669, 77557, 17037, 16552, 15474, 30657
48, 16854, 16460, 16441, 16305, 19132, 17038
49, 18261, 18231, 20153, 19802, 18552, 18999
50, 24088, 20422, 23753, 22869, 20056, 22237
51, 22415, 18742, 20268, 20572, 20952, 20589
52, 21160, 19319, 24311, 21031, 21435, 21451
53, 22967, 21336, 17930, 18813, 31709, 22551
54, 26136, 23931, 20098, 20142, 21196, 22300
55, 21639, 21240, 20844, 20921, 20340, 20996
56, 24525, 20741, 18072, 24789, 26436, 22912
57, 24032, 22145, 20846, 20485, 26456, 22792
58, 23528, 34327, 24064, 23237, 23682, 25767
59, 24325, 24858, 23931, 23406, 23856, 24075
60, 24410, 23847, 24391, 28449, 24032, 25025
61, 24006, 55030, 26799, 25458, 25175, 31293
62, 25519, 24877, 25081, 36611, 33503, 29118
63, 35573, 33087, 32811, 32792, 32630, 33378
64, 32506, 33440, 33126, 37918, 36044, 34606
65, 33032, 33151, 33444, 35361, 33415, 33680
66, 33201, 28036, 28118, 23588, 24718, 27532
67, 27866, 25386, 26176, 25177, 59585, 32838
68, 24983, 25493, 25947, 27706, 31245, 27074
69, 28469, 26309, 26584, 28731, 28548, 27728
70, 26835, 25858, 26505, 37763, 32321, 29856
71, 32152, 27142, 28641, 34350, 29406, 30338
72, 30595, 28374, 31134, 24240, 24449, 27758
73, 27279, 27806, 28125, 44889, 35324, 32684
74, 34290, 36921, 35546, 38866, 35567, 36238
75, 35381, 35368, 35267, 30452, 32591, 33811
76, 29770, 38796, 35035, 32056, 31977, 33526
77, 81412, 33056, 118206, 34769, 33065, 60101
78, 34006, 37464, 33373, 32931, 32897, 34134
79, 37380, 35478, 33795, 33640, 33525, 34763
80, 34156, 36627, 33907, 33932, 33995, 34523
81, 34860, 37629, 40652, 35080, 37386, 37121
82, 33675, 99743, 35190, 47954, 34897, 50291
83, 34205, 38445, 33423, 33731, 56546, 39270
84, 40107, 33983, 33655, 37541, 32477, 35552
85, 34435, 36049, 34132, 32777, 32814, 34041
86, 33641, 34538, 37156, 33345, 33489, 34433
87, 34790, 27173, 20581, 64907, 33153, 36120
88, 37470, 32625, 34601, 32965, 36409, 34814
89, 34951, 33209, 35331, 34421, 34230, 34428
90, 35623, 35209, 37680, 35289, 37354, 36231
91, 34529, 37527, 34899, 35240, 34865, 35412
92, 42552, 35549, 35683, 40506, 35132, 37884
93, 35252, 38585, 40000, 35684, 45877, 39079
94, 31968, 32979, 30732, 37254, 36939, 33974
95, 34234, 37383, 41252, 42352, 43276, 39699
96, 37529, 37425, 36816, 35880, 35812, 36692
97, 37583, 35355, 36929, 36771, 35699, 36467
98, 36218, 39774, 35416, 39990, 38106, 37900
99, 36271, 38764, 37860, 38509, 42401, 38761
100, 39319, 39263, 39509, 36193, 42167, 39290
101, 41978, 42483, 42487, 42700, 42812, 42492
102, 43168, 42815, 38173, 41798, 41380, 41466
103, 49839, 42137, 46042, 43401, 42521, 44788
104, 42953, 44203, 43889, 43770, 42182, 43399
105, 42941, 41986, 43863, 38922, 42059, 41954
106, 38452, 42326, 39873, 40415, 39966, 40206
107, 40072, 40856, 42432, 47400, 40338, 42219
108, 43197, 57671, 57252, 48605, 46894, 50723
109, 54313, 46654, 48785, 46793, 45911, 48491
110, 42592, 45609, 47318, 42771, 43297, 44317
111, 126610, 46776, 99884, 49091, 48737, 74219
112, 51036, 70250, 52788, 45432, 48228, 53546
113, 47396, 51680, 47696, 48336, 48069, 48635
114, 49388, 47792, 49019, 51613, 47878, 49138
115, 47858, 36459, 50177, 53295, 32449, 44047
116, 30271, 27584, 27468, 28771, 28679, 28554
117, 27949, 27689, 27754, 27689, 27689, 27754
118, 29655, 28060, 27965, 29803, 32812, 29659
119, 28515, 28078, 28168, 28237, 28008, 28201
120, 30546, 29974, 28603, 29932, 28425, 29496
121, 28783, 28946, 28891, 28890, 29001, 28902
122, 31378, 29230, 29165, 30267, 33429, 30693
123, 29894, 29488, 29339, 30651, 30202, 29914
124, 32032, 31651, 29591, 30842, 29554, 30734
125, 31363, 84512, 53951, 56606, 58833, 57053
126, 55102, 56334, 56015, 52370, 50125, 53989
127, 53281, 49026, 52589, 51723, 51669, 51657
128, 56111, 53082, 47491, 52540, 50312, 51907
129, 51766, 54491, 52003, 49303, 51464, 51805
130, 49800, 53164, 55580, 56225, 54778, 53909
131, 64083, 52739, 52293, 55101, 51981, 55239
132, 56401, 54519, 53752, 53303, 55969, 54788
133, 53471, 55623, 52683, 55761, 52868, 54081
134, 54497, 53642, 52632, 55890, 54311, 54194
135, 61501, 60082, 63615, 80326, 62792, 65663
136, 63426, 66269, 59629, 58467, 57766, 61111
137, 57965, 60685, 62176, 62321, 68326, 62294
138, 60580, 89743, 238868, 106102, 71179, 113294
139, 64427, 63421, 56211, 66468, 61647, 62434
140, 58432, 52847, 55586, 54165, 66819, 57569
141, 62415, 64182, 60371, 59929, 59698, 61319
142, 62509, 64139, 59288, 64205, 65127, 63053
143, 61602, 59471, 80219, 65438, 58859, 65117
144, 107080, 92417, 70571, 64681, 58900, 78729
145, 68469, 58673, 62129, 63188, 65671, 63626
146, 61055, 62391, 64356, 61197, 64901, 62780
147, 64097, 203298, 103769, 69443, 69515, 102024
148, 64014, 67416, 61702, 64928, 63286, 64269
149, 65397, 65598, 72739, 61701, 58458, 64778
150, 56485, 56361, 58826, 58416, 56257, 57269
151, 55223, 55817, 56036, 56323, 56188, 55917
152, 62814, 59258, 52577, 58677, 38588, 54382
153, 91532, 38592, 43007, 38066, 37821, 49803
154, 38553, 43497, 60806, 41653, 38066, 44515
155, 40470, 38730, 38632, 38608, 38857, 39059
156, 40988, 39028, 40262, 38800, 38681, 39551
157, 39457, 41074, 60845, 59362, 60925, 52332
158, 57810, 70955, 59516, 70895, 68775, 65590
159, 71181, 73307, 76001, 70303, 75200, 73198
160, 64444, 63698, 41119, 42599, 40134, 50398
161, 40656, 42065, 54683, 67027, 61784, 53243
162, 66795, 63964, 69325, 68178, 69056, 67463
163, 70153, 62284, 67623, 70212, 64554, 66965
164, 77005, 75122, 77495, 75113, 78245, 76596
165, 70494, 69501, 64955, 42910, 67102, 62992
166, 67424, 72204, 69231, 68750, 78052, 71132
167, 72141, 70865, 73708, 103348, 76858, 79384
168, 115478, 74452, 97071, 75005, 86824, 89766
169, 78456, 77254, 77402, 90892, 76663, 80133
170, 65717, 65741, 63076, 62805, 62133, 63894
171, 63948, 69030, 74261, 533152, 82048, 164487
172, 81648, 85659, 78349, 74617, 77976, 79649
173, 84596, 72663, 69473, 69858, 70778, 73473
174, 237665, 80808, 81873, 86976, 75518, 112568
175, 75833, 80796, 87842, 80302, 75546, 80063
176, 75056, 71566, 68673, 69281, 65292, 69973
177, 67543, 72199, 95675, 87021, 88234, 82134
178, 50268, 76178, 84999, 50438, 49028, 62182
179, 51524, 49573, 47229, 47063, 46325, 48342
180, 47138, 46769, 48852, 46610, 46412, 47156
181, 47096, 46950, 322511, 82801, 74118, 114695
182, 81890, 49443, 47422, 50423, 48309, 55497
183, 47907, 47271, 47362, 47200, 48490, 47646
184, 49521, 47691, 47395, 47367, 49304, 48255
185, 93007, 82232, 73585, 65119, 70681, 76924
186, 70527, 69396, 70747, 68952, 74526, 70829
187, 69511, 68271, 68952, 74742, 68336, 69962
188, 68045, 70437, 68217, 68667, 70031, 69079
189, 67689, 73306, 69201, 68648, 69373, 69643
190, 69473, 68882, 70895, 107449, 85207, 80381
191, 79795, 76144, 79831, 75292, 62525, 74717
192, 51210, 77116, 86599, 85619, 91646, 78438
193, 89093, 83862, 88305, 91787, 90156, 88640
194, 88123, 88319, 86071, 73009, 73353, 81775
195, 70279, 81744, 71313, 80461, 82778, 77315
196, 77200, 73883, 84498, 77463, 75267, 77662
197, 71306, 73223, 71634, 71144, 72502, 71961
198, 72676, 72600, 80525, 82236, 88152, 79237
199, 96976, 88258, 88346, 87784, 92759, 90824
200, 102802, 93029, 91768, 92571, 92287, 94491
201, 89953, 92614, 97746, 89799, 62718, 86566
202, 58013, 56666, 57139, 130185, 57056, 71811
203, 139014, 87097, 88416, 83376, 136704, 106921
204, 81746, 76281, 77245, 84604, 77523, 79479
205, 73860, 75079, 74582, 77010, 89189, 77944
206, 85722, 86182, 87756, 95867, 100360, 91177
207, 92149, 96443, 96132, 98687, 87585, 94199
208, 131836, 103791, 65720, 61414, 65068, 85565
209, 91528, 95797, 93811, 94971, 99994, 95220
210, 97581, 136652, 84385, 99215, 103871, 104340
211, 103984, 102311, 101563, 97786, 111005, 103329
212, 101727, 101859, 98512, 102996, 103854, 101789
213, 102943, 100934, 104853, 100736, 100928, 102078
214, 100807, 101284, 102244, 101560, 101601, 101499
215, 105245, 101864, 102670, 104932, 101521, 103246
216, 107444, 100756, 101007, 107708, 100127, 103408
217, 103140, 99713, 101340, 101272, 99599, 101012
218, 100632, 104338, 82691, 79139, 79302, 89220
219, 80409, 79783, 106310, 91740, 80225, 87693
220, 82129, 79410, 81591, 82987, 81455, 81514
221, 81056, 81859, 91816, 80724, 79834, 83057
222, 81749, 81850, 80050, 80264, 80309, 80844
223, 82196, 82651, 97115, 130873, 113899, 101346
224, 118708, 117091, 110805, 113810, 112494, 114581
225, 119044, 114176, 115244, 106784, 117313, 114512
226, 116459, 111312, 118176, 113486, 123250, 116536
227, 115932, 115323, 113571, 116262, 118376, 115892
228, 116723, 110428, 95242, 106938, 101319, 106130
229, 106473, 84502, 85501, 82694, 94143, 90662
230, 97716, 84686, 66163, 64526, 62922, 75202
231, 64071, 65293, 71104, 69338, 63223, 66605
232, 64037, 92774, 91560, 87083, 84273, 83945
233, 85215, 85052, 84003, 85236, 85957, 85092
234, 104701, 96428, 102443, 96166, 97496, 99446
235, 96535, 97612, 100473, 98272, 103050, 99188
236, 112199, 111213, 117406, 113382, 115407, 113921
237, 115206, 125112, 117021, 114762, 113777, 117175
238, 115813, 119259, 155614, 114302, 115122, 124022
239, 119212, 114723, 116371, 114911, 115090, 116061
240, 119947, 115705, 114430, 113641, 130391, 118822
241, 120497, 123761, 114835, 112432, 110866, 116478
242, 109161, 110211, 112046, 120225, 109419, 112212
243, 109374, 104606, 103543, 112263, 105018, 106960
244, 107990, 113447, 91704, 68625, 67627, 89878
245, 71012, 77092, 80126, 103092, 98039, 85872
246, 94632, 105297, 110654, 78368, 73212, 92432
