<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 2094275, 4156, 2830, 2694, 2893, 421369
2, 7877, 4928, 4516, 4165, 5900, 5477
3, 5727, 5898, 5761, 6209, 6410, 6001
4, 7460, 7936, 8093, 7939, 7456, 7776
5, 13933, 13706, 12836, 8690, 12567, 12346
6, 32765, 10220, 12665, 15631, 9396, 16135
7, 10077, 9996, 10535, 21833, 10000, 12488
8, 11514, 12159, 11466, 27365, 12424, 14985
9, 15488, 12663, 15109, 18567, 20347, 16434
10, 18366, 13723, 12920, 21449, 14526, 16196
11, 15313, 15140, 21661, 20865, 27088, 20013
12, 14070, 14589, 14228, 15365, 15108, 14672
13, 36502, 19527, 13776, 18662, 14644, 20622
14, 20398, 16137, 13845, 23330, 34474, 21636
15, 18369, 13216, 27680, 17881, 8776, 17184
16, 14962, 14001, 8713, 13942, 8582, 12040
17, 14351, 13915, 13496, 9309, 14913, 13196
18, 15412, 11462, 14885, 14024, 4689, 12094
19, 4695, 9522, 9300, 4695, 4946, 6631
20, 8741, 9780, 4888, 10539, 8529, 8495
21, 8845, 8340, 4777, 4810, 9261, 7206
22, 10182, 9830, 10023, 5008, 5252, 8059
23, 31996, 9743, 9102, 11159, 10983, 14596
24, 5292, 3525405, 7309, 10159, 11439, 711920
25, 14798, 9384, 9386, 21708, 12214, 13498
26, 11478, 10333, 11790, 22837, 10700, 13427
27, 10206, 9814, 10320, 5911, 6259, 8502
28, 10729, 10822, 10022, 10061, 13178, 10962
29, 13632, 10305, 9789, 9860, 9589, 10635
30, 9911, 10629, 10301, 15518, 10224, 11316
31, 6166, 11925, 12980, 10578, 13177, 10965
32, 12119, 10086, 13782, 10547, 10482, 11403
33, 11778, 10871, 11293, 11544, 10374, 11172
34, 11865, 10940, 10396, 10577, 11179, 10991
35, 11903, 19984, 15426, 11741, 11094, 14029
36, 12131, 12342, 12196, 11837, 14983, 12697
37, 9447, 15478, 14911, 18037, 11528, 13880
38, 10458, 15685, 15601, 12132, 15486, 13872
39, 12936, 11880, 17735, 12460, 12687, 13539
40, 11828, 14497, 15362, 11974, 25890, 15910
41, 12537, 12325, 15078, 12738, 14920, 13519
42, 15636, 15152, 14633, 40765, 15066, 20250
43, 10998, 8563, 8368, 11104, 9319, 9670
44, 8750, 13998, 13723, 13161, 14164, 12759
45, 31968, 9620, 12046, 9064, 12342, 15008
46, 10189, 11638, 12097, 8993, 78472, 24277
47, 32167, 31428, 29430, 10225, 13534, 23356
48, 9218, 15693, 12719, 9771, 12536, 11987
49, 13697, 9425, 12581, 11860, 9987, 11510
50, 9198, 12899, 9375, 33876, 12222, 15514
51, 15230, 11546, 11672, 13808, 12074, 12866
52, 12858, 31433, 35364, 13769, 12791, 21243
53, 8233, 8297, 11352, 12074, 11866, 10364
54, 11186, 9583, 9371, 12492, 13392, 11204
55, 11901, 14044, 53918, 9417, 8603, 19576
56, 30569, 14289, 11732, 11270, 10829, 15737
57, 11088, 10832, 11785, 11175, 9011, 10778
58, 8943, 8569, 8118, 9293, 11511, 9286
59, 11388, 11613, 11747, 11393, 14448, 12117
60, 7972, 9126, 9136, 9262, 20764, 11252
61, 11523, 10893, 10764, 11260, 11807, 11249
62, 13392, 11706, 14425, 12728, 12866, 13023
63, 13548, 14781, 11994, 12511, 25380, 15642
64, 12426, 11739, 11911, 9558, 12674, 11661
65, 13449, 13012, 12306, 15427, 12741, 13387
66, 13659, 13151, 13045, 12150, 11612, 12723
67, 12790, 13511, 12271, 12187, 11783, 12508
68, 12293, 14868, 12239, 12626, 14657, 13336
69, 38929, 11238, 10697, 14437, 11534, 17367
70, 11386, 12877, 11546, 11332, 14135, 12255
71, 11199, 11501, 12023, 11169, 10668, 11312
72, 8219, 10670, 8088, 7692, 9873, 8908
73, 10138, 8348, 8081, 7624, 9384, 8715
74, 8125, 9779, 8060, 9595, 8140, 8739
75, 10438, 8017, 13717, 8143, 9973, 10057
76, 8096, 7640, 8014, 7815, 8013, 7915
77, 8263, 10538, 8429, 10100, 8122, 9090
78, 39245, 12350, 8621, 10209, 8655, 15816
79, 9952, 10102, 8496, 10346, 8362, 9451
80, 7682, 10401, 8330, 7580, 10361, 8870
81, 8151, 8459, 10736, 8200, 8278, 8764
82, 10775, 18222, 12187, 14278, 15130, 14118
83, 16030, 13625, 15141, 15028, 14390, 14842
84, 12307, 11702, 14992, 15466, 12668, 13427
85, 12374, 25392, 15491, 14544, 15465, 16653
86, 11352, 11449, 14623, 14355, 14761, 13308
87, 14872, 14356, 11388, 11243, 17118, 13795
88, 13895, 13753, 13889, 15495, 13909, 14188
89, 13978, 14135, 14550, 14598, 11502, 13752
90, 14732, 11907, 11875, 11747, 12209, 12494
91, 11747, 11380, 11317, 11950, 11689, 11616
92, 11629, 15439, 13461, 14276, 14150, 13791
93, 16044, 15471, 15553, 14912, 22728, 16941
