<ITERATION>, <INVOKE>, <BEGIN_INTERVAL>, <END_INTERVAL>, <DIFFERENCE>, <X1>, <X2>, <F1>, <F2>
1, 3, 0.0, 0.50025, 0.250125, 0.49975, 0.50025, 0.12481259373437502, 0.12518759376562497
2, 5, 0.0, 0.25037499999999996, 0.12518749999999998, 0.24987499999999999, 0.25037499999999996, 0.015601574216796872, 0.015695418021484366
3, 7, 0.0, 0.12543749999999998, 0.06271874999999999, 0.12493749999999998, 0.12543749999999998, 0.0019501967770996084, 0.0019737046735839835
4, 9, 0.0, 0.06296874999999999, 0.031484374999999995, 0.06246874999999999, 0.06296874999999999, 0.00024377459713745105, 0.00024967509078979483
5, 11, 0.0, 0.031734374999999995, 0.015867187499999998, 0.031234374999999995, 0.031734374999999995, 0.00003047182464218138, 0.00003195875469589232
6, 13, 0.0, 0.016117187499999998, 0.008058593749999999, 0.015617187499999997, 0.016117187499999998, 0.0000038089780802726726, 0.000004186660789012907
7, 15, 0.0, 0.00830859375, 0.004154296875, 0.007808593749999999, 0.00830859375, 0.00000047612226003408407, 0.0000005735649098753928
8, 17, 0.0, 0.004404296875, 0.0022021484375, 0.0039042968749999993, 0.004404296875, 0.00000005951528250426051, 0.00000008543380629271268
9, 19, 0.0, 0.0024521484375, 0.00122607421875, 0.0019521484374999999, 0.0024521484375, 0.000000007439410313032566, 0.000000014744846924208107
10, 21, 0.0, 0.00147607421875, 0.000738037109375, 0.00097607421875, 0.00147607421875, 0.0000000009299262891290711, 0.0000000032160632739542054
