<ITERATION>, <INVOKE>, <BEGIN_INTERVAL>, <END_INTERVAL>, <DIFFERENCE>, <X1>, <X2>, <F1>, <F2>
1, 3, 0.01, 0.50545, 0.24772499999999997, 0.50455, 0.50545, 0.4624981297540803, 0.46403316872390754
2, 5, 0.01, 0.258175, 0.12408749999999999, 0.257275, 0.258175, -0.1744816996649769, -0.17250530040680206
3, 7, 0.1336375, 0.258175, 0.06226875, 0.1336375, 0.1345375, 0.12454298516240349, 0.12278374737462483
4, 9, 0.19545625, 0.258175, 0.031359374999999995, 0.19545625, 0.19635625, -0.17973310240201962, -0.18232030906659705
5, 11, 0.19545625, 0.227265625, 0.0159046875, 0.226365625, 0.227265625, -0.21660309418782592, -0.21627604218143212
6, 13, 0.2109109375, 0.227265625, 0.008177343749999996, 0.2109109375, 0.21181093750000002, -0.21082256839839353, -0.21180273151644813
7, 15, 0.21863828125, 0.227265625, 0.004313671874999994, 0.21863828125, 0.21953828125000002, -0.21654088376038544, -0.21682525669506414
8, 17, 0.21863828125, 0.223401953125, 0.002381835937499993, 0.22250195312499998, 0.223401953125, -0.21723353365170914, -0.21720151522623432
9, 19, 0.2205701171875, 0.223401953125, 0.0014159179687499995, 0.2205701171875, 0.2214701171875, -0.21705832629658728, -0.21718183564064003
10, 21, 0.22153603515624998, 0.223401953125, 0.0009329589843750097, 0.22153603515624998, 0.22243603515625, -0.2171879937278106, -0.2172330711738402
