<ITERATION>, <X>, <F>
0, 0.0, 0.2
1, 0.001, 0.199
2, 0.002, 0.198
3, 0.003, 0.197
4, 0.004, 0.196
5, 0.005, 0.195
6, 0.006, 0.194
7, 0.007, 0.193
8, 0.008, 0.192
9, 0.009000000000000001, 0.191
10, 0.01, 0.19
11, 0.011, 0.189
12, 0.012, 0.188
13, 0.013000000000000001, 0.187
14, 0.014, 0.186
15, 0.015, 0.185
16, 0.016, 0.184
17, 0.017, 0.183
18, 0.018000000000000002, 0.182
19, 0.019, 0.18100000000000002
20, 0.02, 0.18000000000000002
21, 0.021, 0.17900000000000002
22, 0.022, 0.17800000000000002
23, 0.023, 0.17700000000000002
24, 0.024, 0.17600000000000002
25, 0.025, 0.17500000000000002
26, 0.026000000000000002, 0.17400000000000002
27, 0.027, 0.17300000000000001
28, 0.028, 0.17200000000000001
29, 0.029, 0.171
30, 0.03, 0.17
31, 0.031, 0.169
32, 0.032, 0.168
33, 0.033, 0.167
34, 0.034, 0.166
35, 0.035, 0.165
36, 0.036000000000000004, 0.164
37, 0.037, 0.163
38, 0.038, 0.162
39, 0.039, 0.161
40, 0.04, 0.16
41, 0.041, 0.159
42, 0.042, 0.158
43, 0.043000000000000003, 0.157
44, 0.044, 0.15600000000000003
45, 0.045, 0.15500000000000003
46, 0.046, 0.15400000000000003
47, 0.047, 0.15300000000000002
48, 0.048, 0.15200000000000002
49, 0.049, 0.15100000000000002
50, 0.05, 0.15000000000000002
51, 0.051000000000000004, 0.14900000000000002
52, 0.052000000000000005, 0.14800000000000002
53, 0.053, 0.14700000000000002
54, 0.054, 0.14600000000000002
55, 0.055, 0.14500000000000002
56, 0.056, 0.14400000000000002
57, 0.057, 0.14300000000000002
58, 0.058, 0.14200000000000002
59, 0.059000000000000004, 0.14100000000000001
60, 0.06, 0.14
61, 0.061, 0.139
62, 0.062, 0.138
63, 0.063, 0.137
64, 0.064, 0.136
65, 0.065, 0.135
66, 0.066, 0.134
67, 0.067, 0.133
68, 0.068, 0.132
69, 0.069, 0.131
70, 0.07, 0.13
71, 0.07100000000000001, 0.129
72, 0.07200000000000001, 0.128
73, 0.073, 0.127
74, 0.074, 0.126
75, 0.075, 0.125
76, 0.076, 0.12400000000000001
77, 0.077, 0.12300000000000001
78, 0.078, 0.12200000000000001
79, 0.079, 0.12100000000000001
80, 0.08, 0.12000000000000001
81, 0.081, 0.11900000000000001
82, 0.082, 0.11800000000000001
83, 0.083, 0.117
84, 0.084, 0.116
85, 0.085, 0.115
86, 0.08600000000000001, 0.114
87, 0.08700000000000001, 0.113
88, 0.088, 0.11200000000000002
89, 0.089, 0.11100000000000002
90, 0.09, 0.11000000000000001
91, 0.091, 0.10900000000000001
92, 0.092, 0.10800000000000001
93, 0.093, 0.10700000000000001
94, 0.094, 0.10600000000000001
95, 0.095, 0.10500000000000001
96, 0.096, 0.10400000000000001
97, 0.097, 0.10300000000000001
98, 0.098, 0.10200000000000001
99, 0.099, 0.101
100, 0.1, 0.1
101, 0.101, 0.099
102, 0.10200000000000001, 0.098
103, 0.10300000000000001, 0.097
104, 0.10400000000000001, 0.096
105, 0.105, 0.09500000000000001
106, 0.106, 0.09400000000000001
107, 0.107, 0.09300000000000001
108, 0.108, 0.09200000000000001
109, 0.109, 0.09100000000000001
110, 0.11, 0.09000000000000001
111, 0.111, 0.08900000000000001
112, 0.112, 0.08800000000000001
113, 0.113, 0.08700000000000001
114, 0.114, 0.08600000000000001
115, 0.115, 0.085
116, 0.116, 0.084
117, 0.117, 0.083
118, 0.11800000000000001, 0.082
119, 0.11900000000000001, 0.081
120, 0.12, 0.08000000000000002
121, 0.121, 0.07900000000000001
122, 0.122, 0.07800000000000001
123, 0.123, 0.07700000000000001
124, 0.124, 0.07600000000000001
125, 0.125, 0.07500000000000001
126, 0.126, 0.07400000000000001
127, 0.127, 0.07300000000000001
128, 0.128, 0.07200000000000001
129, 0.129, 0.07100000000000001
130, 0.13, 0.07
131, 0.131, 0.069
132, 0.132, 0.068
133, 0.133, 0.067
134, 0.134, 0.066
135, 0.135, 0.065
136, 0.136, 0.064
137, 0.137, 0.063
138, 0.138, 0.062
139, 0.139, 0.061
140, 0.14, 0.06
141, 0.14100000000000001, 0.059
142, 0.14200000000000002, 0.057999999999999996
143, 0.14300000000000002, 0.056999999999999995
144, 0.14400000000000002, 0.055999999999999994
145, 0.145, 0.05500000000000002
146, 0.146, 0.05400000000000002
147, 0.147, 0.05300000000000002
148, 0.148, 0.05200000000000002
149, 0.149, 0.05100000000000002
150, 0.15, 0.05000000000000002
151, 0.151, 0.049000000000000016
152, 0.152, 0.048000000000000015
153, 0.153, 0.047000000000000014
154, 0.154, 0.04600000000000001
155, 0.155, 0.04500000000000001
156, 0.156, 0.04400000000000001
157, 0.157, 0.04300000000000001
158, 0.158, 0.04200000000000001
159, 0.159, 0.04100000000000001
160, 0.16, 0.04000000000000001
161, 0.161, 0.03900000000000001
162, 0.162, 0.038000000000000006
163, 0.163, 0.037000000000000005
164, 0.164, 0.036000000000000004
165, 0.165, 0.035
166, 0.166, 0.034
167, 0.167, 0.033
168, 0.168, 0.032
169, 0.169, 0.031
170, 0.17, 0.03
171, 0.171, 0.028999999999999998
172, 0.17200000000000001, 0.027999999999999997
173, 0.17300000000000001, 0.026999999999999996
174, 0.17400000000000002, 0.025999999999999995
175, 0.17500000000000002, 0.024999999999999994
176, 0.176, 0.02400000000000002
177, 0.177, 0.02300000000000002
178, 0.178, 0.02200000000000002
179, 0.179, 0.02100000000000002
180, 0.18, 0.020000000000000018
181, 0.181, 0.019000000000000017
182, 0.182, 0.018000000000000016
183, 0.183, 0.017000000000000015
184, 0.184, 0.016000000000000014
185, 0.185, 0.015000000000000013
186, 0.186, 0.014000000000000012
