<ITERATION>, <X>, <F>
0, 0.01, -0.005063656411097588
1, 0.011, 0.0021540467067330668
2, 0.012, 0.011960531127836528
3, 0.013000000000000001, 0.01298628242434307
4, 0.014, 0.010312686390949777
5, 0.015, -0.009585270212871618
6, 0.016, -0.005212728886632988
7, 0.017, 0.012957687691386622
8, 0.018000000000000002, -0.015079132162685662
9, 0.019000000000000003, 0.013301338720206574
10, 0.02, -0.005247497074078575
11, 0.020999999999999998, -0.009978580873662853
12, 0.022, 0.02189325758946101
13, 0.023, -0.011108167244664761
14, 0.024, -0.017644807902947646
15, 0.025, 0.01862782901198372
16, 0.026000000000000002, 0.017957636202507635
17, 0.027000000000000003, -0.016598374517868025
18, 0.028000000000000004, -0.025634197786578404
19, 0.028999999999999998, 0.0021660374632897147
20, 0.03, 0.0282158872988629
21, 0.031, 0.023128121619671656
22, 0.032, -0.005285318795954529
23, 0.033, -0.029600431428080318
24, 0.034, -0.030856959234662876
25, 0.035, -0.010246019484864102
26, 0.036000000000000004, 0.017150414359644445
27, 0.037, 0.035080882894549345
28, 0.038, 0.035178988952290546
29, 0.039, 0.01898049111931778
30, 0.04, -0.005294070003910922
31, 0.041, -0.027721330164224865
32, 0.042, -0.04071935990811736
33, 0.043000000000000003, -0.041000789241105534
34, 0.044000000000000004, -0.029542509144623797
35, 0.045000000000000005, -0.010306024471469444
36, 0.046000000000000006, 0.0114705073462228
37, 0.047, 0.030798145733288637
38, 0.048, 0.04396456613402499
39, 0.049, 0.04899636004803885
40, 0.05, 0.045647262536381385
41, 0.051000000000000004, 0.035071626320966234
42, 0.052000000000000005, 0.019346441581549183
43, 0.053000000000000005, 0.0009734814132586888
44, 0.054, -0.017551311175886302
45, 0.055, -0.03405661549846143
46, 0.056, -0.04689146376568317
47, 0.057, -0.0550087785802454
48, 0.058, -0.05795948343390686
49, 0.059000000000000004, -0.05582400654317182
50, 0.060000000000000005, -0.04910683518947659
51, 0.061000000000000006, -0.03861569378792194
52, 0.062000000000000006, -0.025341650782493258
53, 0.063, -0.0103511659461066
54, 0.064, 0.0053035602771582865
55, 0.065, 0.020653276880293864
56, 0.066, 0.03485945113576172
57, 0.067, 0.0472429340811248
58, 0.068, 0.05729635700055408
59, 0.069, 0.06468352576846105
60, 0.06999999999999999, 0.06922909817037849
61, 0.071, 0.07090157894134923
62, 0.072, 0.06979226412417433
63, 0.073, 0.06609229669562895
64, 0.074, 0.06006951922817691
65, 0.075, 0.05204636509327921
66, 0.076, 0.04237963920117093
67, 0.077, 0.03144271224365954
68, 0.078, 0.019610390304446196
69, 0.079, 0.007246520701545601
70, 0.08, -0.005305751788096055
71, 0.081, -0.017731264781630268
72, 0.082, -0.029747903628685287
73, 0.08299999999999999, -0.04110973493625071
74, 0.08399999999999999, -0.05160850179686858
75, 0.08499999999999999, -0.06107376873599868
76, 0.086, -0.06937198768053697
77, 0.087, -0.07640473241687505
78, 0.088, -0.08210632123457863
79, 0.089, -0.08644101813182983
80, 0.09, -0.08939997382094195
81, 0.091, -0.09099804000863644
82, 0.092, -0.09127056480323371
83, 0.093, -0.09027025405911573
84, 0.094, -0.08806416320296881
85, 0.095, -0.08473086661512862
86, 0.096, -0.08035783685953914
87, 0.097, -0.07503905378472082
88, 0.09799999999999999, -0.06887285352619847
89, 0.09899999999999999, -0.06196001947591673
90, 0.09999999999999999, -0.05440211108893697
91, 0.10099999999999999, -0.04630002172175219
92, 0.102, -0.03775275330438005
93, 0.103, -0.028856393324156876
94, 0.104, -0.019703278149206267
95, 0.105, -0.010381325973185702
96, 0.106, -0.000973522471975907
97, 0.107, 0.008442457499254364
98, 0.108, 0.01779450828068717
99, 0.109, 0.027016247174150635
100, 0.11, 0.0360470779694848
101, 0.111, 0.04483217754777879
102, 0.112, 0.05332241777391006
103, 0.113, 0.061474233770808066
104, 0.114, 0.0692494485606738
105, 0.11499999999999999, 0.07661506298531501
106, 0.11599999999999999, 0.08354301879414863
107, 0.11699999999999999, 0.09000994182480852
108, 0.118, 0.09599687130434693
109, 0.119, 0.10148898047227535
110, 0.12, 0.10647529297136334
111, 0.121, 0.11094839876753256
112, 0.122, 0.11490417274432597
113, 0.123, 0.1183414985673025
114, 0.124, 0.12126199992562113
115, 0.125, 0.12366978082792272
116, 0.126, 0.12557117625306188
117, 0.127, 0.12697451412884256
118, 0.128, 0.12788988932928896
119, 0.129, 0.12832895013885234
120, 0.13, 0.1283046974262179
121, 0.131, 0.1278312965971572
122, 0.132, 0.1269239022515407
