<ITERATION>, <X>, <F>
0, 0.0, 0.0
1, 0.001, 1.0E-9
2, 0.002, 8.0E-9
3, 0.003, 2.7E-8
4, 0.004, 6.4E-8
5, 0.005, 1.2500000000000002E-7
6, 0.006, 2.16E-7
7, 0.007, 3.4300000000000004E-7
8, 0.008, 5.12E-7
9, 0.009000000000000001, 7.290000000000002E-7
10, 0.01, 0.0000010000000000000002
11, 0.011, 0.0000013309999999999998
12, 0.012, 0.000001728
13, 0.013000000000000001, 0.0000021970000000000007
14, 0.014, 0.0000027440000000000003
15, 0.015, 0.000003375
16, 0.016, 0.000004096
17, 0.017, 0.000004913000000000001
18, 0.018000000000000002, 0.000005832000000000002
19, 0.019, 0.000006859
20, 0.02, 0.000008000000000000001
21, 0.021, 0.000009261000000000002
22, 0.022, 0.000010647999999999999
23, 0.023, 0.000012166999999999999
24, 0.024, 0.000013824
25, 0.025, 0.000015625000000000004
26, 0.026000000000000002, 0.000017576000000000006
27, 0.027, 0.000019682999999999998
28, 0.028, 0.000021952000000000003
29, 0.029, 0.000024389000000000003
30, 0.03, 0.000027
31, 0.031, 0.000029790999999999996
32, 0.032, 0.000032768
33, 0.033, 0.000035937000000000005
34, 0.034, 0.00003930400000000001
35, 0.035, 0.00004287500000000001
36, 0.036000000000000004, 0.000046656000000000015
37, 0.037, 0.00005065299999999999
38, 0.038, 0.000054872
39, 0.039, 0.000059319
40, 0.04, 0.00006400000000000001
41, 0.041, 0.00006892100000000001
42, 0.042, 0.00007408800000000001
43, 0.043000000000000003, 0.00007950700000000002
44, 0.044, 0.00008518399999999999
45, 0.045, 0.00009112499999999999
46, 0.046, 0.00009733599999999999
47, 0.047, 0.000103823
48, 0.048, 0.000110592
49, 0.049, 0.00011764900000000003
50, 0.05, 0.00012500000000000003
51, 0.051000000000000004, 0.00013265100000000004
52, 0.052000000000000005, 0.00014060800000000005
53, 0.053, 0.00014887699999999998
54, 0.054, 0.00015746399999999998
55, 0.055, 0.000166375
56, 0.056, 0.00017561600000000002
57, 0.057, 0.00018519300000000003
58, 0.058, 0.00019511200000000003
59, 0.059000000000000004, 0.00020537900000000005
