<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1, 33717, 1160, 1005, 1520, 1052, 7690
2, 1923, 2011, 1917, 1790, 1842, 1896
3, 2096, 2329, 2089, 2017, 2085, 2123
4, 2370, 2053, 1927, 1944, 1999, 2058
5, 1961, 1767, 2331, 2306, 1702, 2013
6, 2554, 1881, 2515, 2015, 1878, 2168
7, 2336, 2185, 2245, 2136, 2131, 2206
8, 2275, 3281, 2239, 2401, 2176, 2474
9, 2520, 2447, 2438, 2809, 2412, 2525
10, 4322, 2750, 3682, 2733, 4042, 3505
11, 3809, 6626, 4325, 3928, 3891, 4515
12, 3527, 3819, 3844, 3441, 3432, 3612
13, 26020, 5008, 5016, 4449, 4586, 9015
14, 4604, 4345, 4374, 4304, 4172, 4359
15, 4967, 4687, 4610, 4017, 4549, 4566
16, 5414, 5135, 4326, 4220, 9111, 5641
17, 26925, 10996, 10834, 10573, 10695, 14004
18, 11404, 9575, 10872, 11106, 14369, 11465
19, 10900, 10388, 10738, 10522, 10576, 10624
20, 10405, 10144, 9783, 10302, 14002, 10927
21, 10062, 9734, 30106, 16598, 12877, 15875
22, 11113, 10802, 14445, 10654, 9994, 11401
23, 12993, 13670, 16511, 14558, 3850388, 781624
24, 5975, 7845, 4257, 4941, 4281, 5459
25, 11754, 6971, 5834, 7532, 7579, 7934
26, 7858, 7176, 14271, 4698, 6227, 8046
27, 7674, 7150, 6926, 6578, 6829, 7031
28, 7252, 7074, 7140, 7011, 7171, 7129
29, 8158, 7205, 7348, 15710, 7256, 9135
30, 8183, 7496, 10645, 7789, 8153, 8453
31, 8810, 8501, 10863, 12913, 7557, 9728
32, 8670, 7140, 6861, 7614, 8064, 7669
33, 17593, 10616, 9139, 13159, 9835, 12068
34, 14550, 10096, 13464, 10378, 11706, 12038
35, 13426, 18373, 11951, 12501, 11808, 13611
36, 11186, 10985, 18601, 11970, 15267, 13601
37, 11317, 10607, 10636, 13121, 10127, 11161
38, 10507, 9914, 9935, 12760, 9611, 10545
39, 11337, 10631, 11229, 14915, 13450, 12312
40, 13676, 13276, 13007, 13439, 17411, 14161
41, 16989, 13524, 12428, 13524, 13425, 13978
42, 14104, 13834, 18332, 11513, 15085, 14573
43, 13204, 15337, 10781, 30835, 13624, 16756
44, 18108, 13788, 16346, 17359, 30072, 19134
45, 14161, 13689, 12784, 13490, 13315, 13487
46, 15679, 14641, 14483, 14002, 48767, 21514
47, 15433, 13270, 16036, 49264, 17321, 22264
48, 16923, 15665, 21275, 18041, 13402, 17061
49, 19812, 15916, 16427, 19133, 17102, 17678
50, 18965, 24279, 21772, 23348, 19453, 21563
51, 19861, 20460, 19654, 30271, 24155, 22880
52, 22653, 19826, 17783, 21451, 19351, 20212
53, 23450, 22691, 19132, 19519, 19160, 20790
54, 18657, 18323, 11504, 11664, 11414, 14312
55, 10705, 15618, 13871, 11181, 10554, 12385
56, 15793, 10879, 11385, 11127, 11208, 12078
57, 12354, 12434, 11913, 97500, 11772, 29194
58, 12800, 12411, 15278, 12056, 11606, 12830
59, 12979, 11711, 12449, 15889, 46185, 19842
60, 11955, 9196, 11468, 8108, 10898, 10325
61, 10752, 12428, 9101, 10151, 9522, 10390
62, 48497, 28766, 11034, 14653, 10774, 22744
63, 17221, 11121, 11507, 11911, 16999, 13751
64, 12785, 12394, 11545, 12184, 15509, 12883
65, 14422, 13738, 13065, 13027, 49703, 20791
66, 12274, 11541, 12980, 22539, 14821, 14831
67, 14851, 14263, 13731, 52170, 13920, 21787
68, 15274, 14587, 13952, 12777, 13326, 13983
69, 36488, 12877, 51790, 16243, 15214, 26522
70, 14268, 14050, 13503, 14478, 9407, 13141
71, 11472, 24893, 7011, 6812, 6569, 11351
72, 7659, 7016, 4413, 3467, 6016, 5714
73, 11340, 4168, 3631, 11229, 5738, 7221
74, 7054, 10193, 6313, 6015, 6375, 7190
75, 12186, 7199, 5540, 5470, 8780, 7835
76, 7559, 7024, 9818, 5694, 6109, 7240
77, 7778, 10235, 6240, 6209, 3443, 6781
